idNodo,latitud,longitud,nombre,poligono
1351591695721,37.1829,-3.61411,"Universidad de Granada 1","<Polygon><outerBoundaryIs><LinearRing><coordinates>-3.6141099999999966,37.183349157642056,0.0 -3.6139640859632474,37.18333385287707,0.0 -3.613828115894452,37.183288981594444,0.0 -3.6137113560516427,37.18321760174676,0.0 -3.613621763470062,37.183124577819406,0.0 -3.613565443691199,37.18301624930598,0.0 -3.6135462346922957,37.1828999986645,0.0 -3.613565445367453,37.18278374820194,0.0 -3.6136217663734254,37.18267542017735,0.0 -3.6137113594041765,37.18258239691774,0.0 -3.613828118797815,37.182511017737795,0.0 -3.613964087639527,37.182466146943995,0.0 -3.6141099999999966,37.18245084235794,0.0 -3.614255912360491,37.182466146943995,0.0 -3.614391881202178,37.182511017737795,0.0 -3.6145086405958415,37.18258239691774,0.0 -3.614598233626568,37.18267542017735,0.0 -3.6146545546325397,37.18278374820194,0.0 -3.614673765307697,37.1828999986645,0.0 -3.6146545563088193,37.18301624930598,0.0 -3.6145982365299307,37.183124577819406,0.0 -3.61450864394835,37.18321760174676,0.0 -3.614391884105541,37.183288981594444,0.0 -3.6142559140367454,37.18333385287707,0.0 -3.6141099999999966,37.183349157642056,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1351591800440,37.1773,-3.59856,"Universidad de Granada 2","<Polygon><outerBoundaryIs><LinearRing><coordinates>-3.598560000000011,37.17774915764206,0.0 -3.5984140967802265,37.1777338528771,0.0 -3.5982781367911687,37.17768898159452,0.0 -3.598161385603972,37.17761760174691,0.0 -3.5980717996639493,37.17752457781961,0.0 -3.598015484060009,37.17741624930624,0.0 -3.597996276484926,37.17729999866478,0.0 -3.5980154857358055,37.17718374820221,0.0 -3.5980718025665235,37.17707542017756,0.0 -3.5981613889555644,37.17698239691787,0.0 -3.598278139693743,37.17691101773787,0.0 -3.598414098456023,37.17686614694402,0.0 -3.598560000000011,37.176850842357936,0.0 -3.5987059015439735,37.17686614694402,0.0 -3.5988418603062535,37.17691101773787,0.0 -3.598958611044432,37.17698239691787,0.0 -3.599048197433473,37.17707542017756,0.0 -3.599104514264191,37.17718374820221,0.0 -3.59912372351507,37.17729999866478,0.0 -3.599104515939987,37.17741624930624,0.0 -3.599048200336047,37.17752457781961,0.0 -3.5989586143960244,37.17761760174691,0.0 -3.5988418632088277,37.17768898159452,0.0 -3.5987059032197695,37.1777338528771,0.0 -3.598560000000011,37.17774915764206,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1351591868114,37.1974,-3.63599,"Universidad de Granada 3","<Polygon><outerBoundaryIs><LinearRing><coordinates>-3.6359899999999987,37.19784915764206,0.0 -3.635844057941113,37.19783385287704,0.0 -3.6357080617599378,37.197788981594286,0.0 -3.6355912794941676,37.197717601746426,0.0 -3.635501669707109,37.19762457781888,0.0 -3.6354453391127826,37.19751624930534,0.0 -3.635426126425377,37.19739999866381,0.0 -3.6354453407902323,37.19728374820131,0.0 -3.6355016726125586,37.19717542017683,0.0 -3.635591282849093,37.19708239691739,0.0 -3.6357080646653874,37.19701101773764,0.0 -3.6358440596185884,37.19696614694396,0.0 -3.6359899999999987,37.19695084235794,0.0 -3.6361359403814095,37.19696614694396,0.0 -3.6362719353346105,37.19701101773764,0.0 -3.636388717150905,37.19708239691739,0.0 -3.6364783273874393,37.19717542017683,0.0 -3.6365346592097656,37.19728374820131,0.0 -3.636553873574621,37.19739999866381,0.0 -3.6365346608872153,37.19751624930534,0.0 -3.636478330292889,37.19762457781888,0.0 -3.6363887205058303,37.197717601746426,0.0 -3.63627193824006,37.197788981594286,0.0 -3.636135942058885,37.19783385287704,0.0 -3.6359899999999987,37.19784915764206,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1351671926347,37.1765,-3.61433,"Universidad de Granada 4","<Polygon><outerBoundaryIs><LinearRing><coordinates>-3.614330000000001,37.176949157642056,0.0 -3.614184098325254,37.176933852877085,0.0 -3.614048139775944,37.17688898159452,0.0 -3.6139313898250673,37.176817601746926,0.0 -3.6138418048336893,37.176724577819634,0.0 -3.6137854898260655,37.17661624930627,0.0 -3.6137662824543595,37.17649999866481,0.0 -3.613785491501811,37.176383748202234,0.0 -3.6138418077361365,37.17627542017758,0.0 -3.6139313931765322,37.17618239691788,0.0 -3.6140481426783913,37.17611101773787,0.0 -3.614184100000974,37.176066146944024,0.0 -3.614330000000001,37.17605084235793,0.0 -3.614475899999003,37.176066146944024,0.0 -3.6146118573216115,37.17611101773787,0.0 -3.61472860682347,37.17618239691788,0.0 -3.614818192263866,37.17627542017758,0.0 -3.614874508498192,37.176383748202234,0.0 -3.614893717545643,37.17649999866481,0.0 -3.6148745101739115,37.17661624930627,0.0 -3.614818195166313,37.176724577819634,0.0 -3.614728610174935,37.176817601746926,0.0 -3.6146118602240582,37.17688898159452,0.0 -3.6144759016747483,37.176933852877085,0.0 -3.614330000000001,37.176949157642056,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1351672370785,37.1773,-3.59856,"Universidad de Granada 5","<Polygon><outerBoundaryIs><LinearRing><coordinates>-3.598560000000011,37.17774915764206,0.0 -3.5984140967802265,37.1777338528771,0.0 -3.5982781367911687,37.17768898159452,0.0 -3.598161385603972,37.17761760174691,0.0 -3.5980717996639493,37.17752457781961,0.0 -3.598015484060009,37.17741624930624,0.0 -3.597996276484926,37.17729999866478,0.0 -3.5980154857358055,37.17718374820221,0.0 -3.5980718025665235,37.17707542017756,0.0 -3.5981613889555644,37.17698239691787,0.0 -3.598278139693743,37.17691101773787,0.0 -3.598414098456023,37.17686614694402,0.0 -3.598560000000011,37.176850842357936,0.0 -3.5987059015439735,37.17686614694402,0.0 -3.5988418603062535,37.17691101773787,0.0 -3.598958611044432,37.17698239691787,0.0 -3.599048197433473,37.17707542017756,0.0 -3.599104514264191,37.17718374820221,0.0 -3.59912372351507,37.17729999866478,0.0 -3.599104515939987,37.17741624930624,0.0 -3.599048200336047,37.17752457781961,0.0 -3.5989586143960244,37.17761760174691,0.0 -3.5988418632088277,37.17768898159452,0.0 -3.5987059032197695,37.1777338528771,0.0 -3.598560000000011,37.17774915764206,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1351672500995,37.1773,-3.59856,"Universidad de Granada 6","<Polygon><outerBoundaryIs><LinearRing><coordinates>-3.598560000000011,37.17774915764206,0.0 -3.5984140967802265,37.1777338528771,0.0 -3.5982781367911687,37.17768898159452,0.0 -3.598161385603972,37.17761760174691,0.0 -3.5980717996639493,37.17752457781961,0.0 -3.598015484060009,37.17741624930624,0.0 -3.597996276484926,37.17729999866478,0.0 -3.5980154857358055,37.17718374820221,0.0 -3.5980718025665235,37.17707542017756,0.0 -3.5981613889555644,37.17698239691787,0.0 -3.598278139693743,37.17691101773787,0.0 -3.598414098456023,37.17686614694402,0.0 -3.598560000000011,37.176850842357936,0.0 -3.5987059015439735,37.17686614694402,0.0 -3.5988418603062535,37.17691101773787,0.0 -3.598958611044432,37.17698239691787,0.0 -3.599048197433473,37.17707542017756,0.0 -3.599104514264191,37.17718374820221,0.0 -3.59912372351507,37.17729999866478,0.0 -3.599104515939987,37.17741624930624,0.0 -3.599048200336047,37.17752457781961,0.0 -3.5989586143960244,37.17761760174691,0.0 -3.5988418632088277,37.17768898159452,0.0 -3.5987059032197695,37.1777338528771,0.0 -3.598560000000011,37.17774915764206,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1353516696419,37.1775,-3.59439,"Universidad de Granada 7","<Polygon><outerBoundaryIs><LinearRing><coordinates>-3.594390000000011,37.17794915764206,0.0 -3.5942440963939544,37.177933852877096,0.0 -3.594108136044959,37.17788898159451,0.0 -3.5939913845486893,37.17781760174691,0.0 -3.593901798371499,37.1777245778196,0.0 -3.5938454826184545,37.177616249306226,0.0 -3.593826274992533,37.17749999866477,0.0 -3.593845484294276,37.17738374820221,0.0 -3.593901801274073,37.17727542017755,0.0 -3.593991387900307,37.17718239691787,0.0 -3.594108138947559,37.17711101773787,0.0 -3.594244098069776,37.17706614694402,0.0 -3.594390000000011,37.17705084235795,0.0 -3.594535901930245,37.17706614694402,0.0 -3.594671861052462,37.17711101773787,0.0 -3.5947886120997143,37.17718239691787,0.0 -3.594878198725923,37.17727542017755,0.0 -3.5949345157057198,37.17738374820221,0.0 -3.594953725007463,37.17749999866477,0.0 -3.5949345173815415,37.177616249306226,0.0 -3.5948782016285223,37.1777245778196,0.0 -3.594788615451332,37.17781760174691,0.0 -3.5946718639550364,37.17788898159451,0.0 -3.5945359036060416,37.177933852877096,0.0 -3.594390000000011,37.17794915764206,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1353516696420,37.1675,-3.58865,"Universidad de Granada - Nodo JJ",NULL
1381128343770,0,0,"Universidad de Granada 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>0.0,4.4915764205976077E-4,0.0 1.1625055201236242E-4,4.338529665403263E-4,0.0 2.2457882102484546E-4,3.889819283266747E-4,0.0 3.1760241451819494E-4,3.1760241452059043E-4,0.0 3.889819283287409E-4,2.2457882102815526E-4,0.0 4.3385296653055734E-4,1.1625055201729615E-4,0.0 4.491576420496909E-4,2.7502973432771235E-20,0.0 4.3385296653055734E-4,-1.162505520172962E-4,0.0 3.889819283287409E-4,-2.245788210281551E-4,0.0 3.1760241451819494E-4,-3.176024145205903E-4,0.0 2.2457882102484546E-4,-3.889819283266747E-4,0.0 1.1625055201236242E-4,-4.338529665403263E-4,0.0 0.0,-4.4915764205976077E-4,0.0 -1.1625055201236242E-4,-4.338529665403264E-4,0.0 -2.2457882102484546E-4,-3.889819283266746E-4,0.0 -3.1760241451819494E-4,-3.1760241452059043E-4,0.0 -3.889819283287409E-4,-2.245788210281554E-4,0.0 -4.3385296653055734E-4,-1.162505520172961E-4,0.0 -4.491576420496909E-4,-8.250892029831369E-20,0.0 -4.3385296653055734E-4,1.1625055201729596E-4,0.0 -3.889819283287409E-4,2.2457882102815526E-4,0.0 -3.1760241451819494E-4,3.1760241452059027E-4,0.0 -2.2457882102484546E-4,3.8898192832667453E-4,0.0 -1.1625055201236242E-4,4.338529665403263E-4,0.0 0.0,4.4915764205976077E-4,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388395655467,37.5517,-5.86911,"Sipesca 1 bluetooth Brenes","<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.869110000000008,37.552149157642056,0.0 -5.868963366946688,37.55213385287587,0.0 -5.868826726864202,37.55208898158996,0.0 -5.868709391673174,37.55201760173779,0.0 -5.868619357618694,37.55192457780594,0.0 -5.8685627603270465,37.55181624928924,0.0 -5.868543456685293,37.551699998646555,0.0 -5.86856276203419,37.551583748185216,0.0 -5.868619360575541,37.55147542016389,0.0 -5.868709395087485,37.551382396908764,0.0 -5.868826729821074,37.551311017733305,0.0 -5.868963368653857,37.55126614694279,0.0 -5.869110000000008,37.55125084235794,0.0 -5.869256631346161,37.55126614694279,0.0 -5.869393270178918,37.551311017733305,0.0 -5.8695106049125325,37.551382396908764,0.0 -5.86960063942445,37.55147542016389,0.0 -5.869657237965802,37.551583748185216,0.0 -5.869676543314699,37.551699998646555,0.0 -5.869657239672946,37.55181624928924,0.0 -5.8696006423813225,37.55192457780594,0.0 -5.869510608326819,37.55201760173779,0.0 -5.86939327313579,37.55208898158996,0.0 -5.869256633053305,37.55213385287587,0.0 -5.869110000000008,37.552149157642056,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
